label,content,type,location_chapter,location_section,location_subsection,location_subsection_title,pre_para_note,title_num,paragraph_num
ESRS 2(4.)(),Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,title_subsection,ESRS 2,4.,,Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,,
ESRS 2 - 54,The undertaking shall report on the Disclosure Requirements complied with in its sustainability statements.,paragraph,ESRS 2,4.,,Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,,54.
ESRS 2 - 55,"The objective of this Disclosure  Requirement is to provide an understanding of the Disclosure  Requirements included in the undertaking’s sustainability statement and  of the topics that have been omitted as not material, as a result of the materiality assessment.",paragraph,ESRS 2,4.,,Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,,55.
ESRS 2 - 56,"The undertaking shall include a list of the Disclosure Requirements complied with in preparing the sustainability statement , following the outcome of the materiality assessment (see ESRS 1 chapter 3),  including the page numbers and/or paragraphs where the related  disclosures are located in the sustainability statement. This may be  presented as a content index. The undertaking shall also include a table  of all the datapoints that derive from other EU legislation as listed  in Appendix B of this standard, indicating where they can be found in  the sustainability statement and including those that the undertaking  has assessed as not material, in which case the undertaking shall  indicate “Not material” in the table in accordance with ESRS 1 paragraph  35.",paragraph,ESRS 2,4.,,Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,,56.
ESRS 2 - 57,"If the undertaking concludes that climate change is not material and therefore omits all disclosure requirements in ESRS E1 Climate change , it shall disclose a detailed explanation of the conclusions of its materiality assessment with regard to climate change (see ESRS 2 IRO-2 Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement ),  including a forward-looking analysis of the conditions that could lead  the undertaking to conclude that climate change is material in the  future.",paragraph,ESRS 2,4.,,Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,,57.
ESRS 2 - 58,"If the undertaking concludes that a topic  other than climate change is not material and therefore omits all the  Disclosure Requirements in the corresponding topical ESRS, it may  provide a brief explanation of the conclusions of its materiality assessment for that topic.",paragraph,ESRS 2,4.,,Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,,58.
ESRS 2 - 59,"The undertaking shall provide an  explanation of how it has determined the material information to be  disclosed in relation to the impacts, risks and opportunities that it has assessed to be material,  including the use of thresholds and/or how it has implemented the  criteria in ESRS 1 section 3.2 Material matters and materiality of information.",paragraph,ESRS 2,4.,,Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,,59.
ESRS 2(4.)(4),Minimum disclosure requirements on policies and actions,title_subsection,ESRS 2,4.,4.2,Minimum disclosure requirements on policies and actions,,4.2,
ESRS 2 - 60,"This section sets out minimum disclosure requirements to be included when the undertaking discloses information on its policies and actions to prevent, mitigate and remediate actual and potential material impacts , to address material risks and/or to pursue material opportunities (collectively, to “manage material sustainability matters ”). They shall be applied together  with the Disclosure Requirements, including Application Requirements,  provided in the relevant topical and sector-specific ESRS. They shall  also be applied when the undertaking prepares entity-specific  disclosures.",paragraph,ESRS 2,4.,4.2,Minimum disclosure requirements on policies and actions,,,60.
ESRS 2 - 61,"The corresponding disclosures shall be located alongside disclosures prescribed by the relevant ESRS. When a single policy or same actions address several interconnected sustainability matters , the undertaking may disclose the  required information in its reporting under one topical ESRS and cross  reference to it in its reporting under other topical ESRS.",paragraph,ESRS 2,4.,4.2,Minimum disclosure requirements on policies and actions,,,61.
ESRS 2 - 62,"If the undertaking cannot disclose the information on policies and actions required under relevant ESRS, because it has not adopted policies and/or actions with reference to the specific sustainability matter concerned, it shall disclose this to  be the case, and provide reasons for not having adopted  policies and/or actions. The undertaking may disclose a timeframe  in which it aims to adopt them.",paragraph,ESRS 2,4.,4.2,Minimum disclosure requirements on policies and actions,,,62.
ESRS 2(4.)(),Minimum Disclosure Requirement – Policies MDR-P – Policies adopted to manage material sustainability matters,title_subsection,ESRS 2,4.,,Minimum Disclosure Requirement – Policies MDR-P – Policies adopted to manage material sustainability matters,,,
ESRS 2 - 63,The undertaking shall apply the minimum disclosure requirements defined in this provision when it discloses the policies it has in place with regard to each sustainability matter identified as material.,paragraph,ESRS 2,4.,,Minimum Disclosure Requirement – Policies MDR-P – Policies adopted to manage material sustainability matters,,,63.
ESRS 2 - 64,"The objective of this Minimum Disclosure Requirement is to provide an understanding of the policies that the undertaking has in place to prevent, mitigate and remediate actual and potential impacts , to address risks and to pursue opportunities .",paragraph,ESRS 2,4.,,Minimum Disclosure Requirement – Policies MDR-P – Policies adopted to manage material sustainability matters,,,64.
ESRS 2 - 65,"The undertaking shall disclose information about policies adopted to manage material sustainability matters . The disclosure shall include the following information: (a) a description of the key contents of the policy , including its general objectives and which material impacts, risks or opportunities the policy relates to and the process for monitoring; (b) a description of the scope of the policy, or of its exclusions, in terms of activities, upstream and/or downstream value chain , geographies and if relevant, affected stakeholder groups; (c) the most senior level in the undertaking’s organisation that is accountable for the implementation of the policy; (d) a reference, if  relevant, to the third-party standards or initiatives the undertaking  commits to respect through the implementation of the policy; (e) if relevant, a description of the consideration given to the interests of key stakeholders in setting the policy; and (f) if relevant,  whether and how the undertaking makes the policy available to  potentially affected stakeholders, and stakeholders who need to help  implement it.",paragraph,ESRS 2,4.,,Minimum Disclosure Requirement – Policies MDR-P – Policies adopted to manage material sustainability matters,,,65.
ESRS 2(4.)(),Minimum Disclosure Requirement – Actions MDR-A – Actions and resources in relation to material sustainability matters,title_subsection,ESRS 2,4.,,Minimum Disclosure Requirement – Actions MDR-A – Actions and resources in relation to material sustainability matters,,,
ESRS 2 - 66,The undertaking shall apply the requirements for the content of disclosures in this provision when it describes the actions through which it manages each material sustainability matter including action plans and resources allocated and/or planned.,paragraph,ESRS 2,4.,,Minimum Disclosure Requirement – Actions MDR-A – Actions and resources in relation to material sustainability matters,,,66.
ESRS 2 - 67,"The objective of this Minimum Disclosure Requirement is to provide an understanding of the key actions taken and/or planned to prevent, mitigate and remediate actual and potential impacts , and to address risks and opportunities , and where applicable achieve the objectives and targets of related policies .",paragraph,ESRS 2,4.,,Minimum Disclosure Requirement – Actions MDR-A – Actions and resources in relation to material sustainability matters,,,67.
ESRS 2 - 68,"Where the implementation of a policy requires actions , or a comprehensive action plan, to  achieve its objectives, as well as when actions are implemented without a  specific policy, the undertaking shall disclose the following  information: (a) the list of key  actions taken in the reporting year and planned for the future, their  expected outcomes and, where relevant, how their implementation  contributes to the achievement of policy objectives and targets ; (b) the scope of the key actions (i.e., coverage in terms of activities, upstream and/or downstream value chain, geographies and, where applicable, affected stakeholder groups); (c) the time horizons under which the undertaking intends to complete each key action; (d) if applicable, key actions taken (along with results) to provide for and cooperate in or support the provision of remedy for those harmed by actual material impacts; (e) if applicable,  quantitative and qualitative information regarding the progress of  actions or action plans disclosed in prior periods.",paragraph,ESRS 2,4.,,Minimum Disclosure Requirement – Actions MDR-A – Actions and resources in relation to material sustainability matters,,,68.
ESRS 2 - 69,"Where the implementation of an action plan  requires significant operational expenditures (Opex) and/or  capital expenditures (Capex) the undertaking shall: (a) describe the  type of current and future financial and other resources allocated to  the action plan, including if applicable, the relevant terms of  sustainable finance instruments, such as green bonds, social bonds and  green loans, the environmental or social objectives, and whether the  ability to implement the actions or action plan depends on specific  preconditions, e.g., granting of financial support or public policy and  market developments; (b) provide the  amount of current financial resources and explain how they relate to the  most relevant amounts presented in the financial statements; and (c) provide the amount of future financial resources.",paragraph,ESRS 2,4.,,Minimum Disclosure Requirement – Actions MDR-A – Actions and resources in relation to material sustainability matters,,,69.
ESRS 2(5.),Metrics and targets,title_section,ESRS 2,5.,,,,5.,
ESRS 2 - 70,"This chapter sets out Minimum Disclosure Requirements that shall be included when the undertaking discloses information on its metrics and targets related to each material  sustainability matter. They shall be applied together with the  Disclosure Requirements, including Application Requirements, provided in  the relevant topical ESRS. They shall also be applied when the  undertaking prepares entity-specific disclosures.",paragraph,ESRS 2,5.,,,,,70.
ESRS 2 - 71,The corresponding disclosures shall be located alongside disclosures prescribed by the topical ESRS.,paragraph,ESRS 2,5.,,,,,71.
ESRS 2 - 72,"If the undertaking cannot disclose the information on targets required under the relevant topical  ESRS, because it has not set targets with reference to the specific  sustainability matter concerned, it shall disclose this to be the case,  and provide reasons for not having adopted targets. The undertaking may  disclose a timeframe in which it aims to adopt them.",paragraph,ESRS 2,5.,,,,,72.
ESRS 2(5.)(),Minimum disclosure requirement – Metrics MDR-M – Metrics in relation to material sustainability matters,title_subsection,ESRS 2,5.,,Minimum disclosure requirement – Metrics MDR-M – Metrics in relation to material sustainability matters,,,
ESRS 2 - 73,The undertaking shall apply the requirements for the content of disclosures in this provision when it discloses on the metrics it has in place with regard to each material sustainability matter .,paragraph,ESRS 2,5.,,Minimum disclosure requirement – Metrics MDR-M – Metrics in relation to material sustainability matters,,,73.
ESRS 2 - 74,The objective of this Minimum Disclosure Requirement is to provide an understanding of the metrics the undertaking uses to track the effectiveness of its actions to manage material sustainability matters .,paragraph,ESRS 2,5.,,Minimum disclosure requirement – Metrics MDR-M – Metrics in relation to material sustainability matters,,,74.
ESRS 2 - 75,"The undertaking shall disclose any metrics that it uses to evaluate performance and effectiveness, in relation to a material impact, risk or opportunity.",paragraph,ESRS 2,5.,,Minimum disclosure requirement – Metrics MDR-M – Metrics in relation to material sustainability matters,,,75.
ESRS 2 - 76,"Metrics shall include those defined in ESRS,  as well as metrics identified on an entity-specific basis, whether taken  from other sources or developed by the undertaking itself.",paragraph,ESRS 2,5.,,Minimum disclosure requirement – Metrics MDR-M – Metrics in relation to material sustainability matters,,,76.
ESRS 2 - 77,"For each metric , the undertaking shall: (a) disclose the methodologies and significant assumptions behind the metric, including the limitations of the methodologies used; (b) disclose  whether the measurement of the metric is validated by an external body  other than the assurance provider and, if so, which body; (c) label and define the metric using meaningful, clear and precise names and descriptions; (d) when currency is specified as the unit of measure, use the presentation currency of its financial statements.",paragraph,ESRS 2,5.,,Minimum disclosure requirement – Metrics MDR-M – Metrics in relation to material sustainability matters,,,77.
ESRS 2(5.)(),Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,title_subsection,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - 78,The undertaking shall apply the  requirements for the content of disclosures in this provision when it  discloses information about the targets it has set with regard to each material sustainability matter.,paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,78.
ESRS 2 - 79,"The objective of this Minimum Disclosure Requirement is to provide for each material sustainability matter an understanding of: (a) whether and how the undertaking tracks the effectiveness of its actions to address material impacts, risks and opportunities , including the metrics it uses to do so; (b) measurable time-bound outcome-oriented targets set by the undertaking to meet the policy ’s objectives, defined in  terms of expected results for people, the environment or the undertaking  regarding material impacts, risks and opportunities; (c) the overall progress towards the adopted targets over time; (d) in the case  that the undertaking has not set measurable time-bound outcome-oriented  targets, whether and how it nevertheless tracks the effectiveness of its  actions to address material impacts, risks and opportunities and  measures the progress in achieving its policy objectives; and (e) whether and how stakeholders have been involved in target setting for each material sustainability matter.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,79.
ESRS 2 - 80,"The undertaking shall disclose the measurable, outcome-oriented and time-bound targets on material sustainability matters it has set to assess progress. For each target, the disclosure shall include the following information: (a) a description of the relationship of the target to the policy objectives; (b) the defined  target level to be achieved, including, where applicable, whether the  target is absolute or relative and in which unit it is measured; (c) the scope of the target, including the undertaking’s activities and/or its upstream and/or downstream value chain where applicable and geographical boundaries; (d) the baseline value and base year from which progress is measured; (e) the period to which the target applies and if applicable, any milestones or interim targets; (f) the methodologies and significant assumptions used to define targets, including where applicable, the selected scenario , data sources, alignment  with national, EU or international policy goals and how the targets  consider the wider context of sustainable development and/or local  situation in which impacts take place; (g) whether the undertaking’s targets related to environmental matters are based on conclusive scientific evidence; (h) whether and how stakeholders have been involved in target setting for each material sustainability matter; (i) any changes in targets and corresponding metrics or underlying measurement  methodologies, significant assumptions, limitations, sources and  processes to collect data adopted within the defined time horizon. This  includes an explanation of the rationale for those changes and their  effect on comparability (see Disclosure Requirement BP-2 Disclosures in relation to specific circumstances of this Standard ); and (j) the performance  against its disclosed targets, including information on how the target  is monitored and reviewed and the metrics used, whether the progress is  in line with what had been initially planned, and an analysis of trends  or significant changes in the performance of the undertaking towards  achieving the target.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,80.
ESRS 2 - 81,"If the undertaking has not set any measurable outcome-oriented targets : (a) it may disclose  whether such targets will be set and the timeframe for setting them, or  the reasons why the undertaking does not plan to set such targets; (b) it shall disclose whether it nevertheless tracks the effectiveness of its policies and actions in relation to the material sustainability-related impact, risk and opportunity , and if so: i. any processes through which it does so; ii. the  defined level of ambition to be achieved and any qualitative or  quantitative indicators it uses to evaluate progress, including the base  period from which progress is measured.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,81.
ESRS 2 - Appendix ,Application Requirements,paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,Appendix A
ESRS 2 - This appendix is an integral part of ESRS 2 and has the same authority as other parts of the Standard,,paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,This appendix is an integral part of ESRS 2 and has the same authority as other parts of the Standard.
ESRS 2 - 1.Basis for preparatio,1.Basis for preparation,paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,1.Basis for preparation
ESRS 2(5.)()(-Disclosure Requirement BP-1 – General basis for preparation of sustainability statements),Disclosure Requirement BP-1 – General basis for preparation of sustainability statements,pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 1,"When describing to what extent the sustainability statement covers the undertaking’s upstream and downstream value chain (see ESRS 1 section 5.1 Reporting undertaking and value chain ), the undertaking may distinguish between: (a) the extent to which its materiality assessment of impacts, risks and opportunities extends to its upstream and/or downstream value chain; (b) the extent to which its policies, actions and targets extend to its value chain; and (c) the extent to which it includes upstream and/or downstream value chain data when disclosing on metrics .",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement BP-1 – General basis for preparation of sustainability statements,,AR 1.
ESRS 2(5.)()(-Disclosure Requirement BP-2 – Disclosures in relation to specific circumstances),Disclosure Requirement BP-2 – Disclosures in relation to specific circumstances,pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 2,"The undertaking may disclose whether  it relies on any European standards approved by the European  Standardisation System (ISO/IEC or CEN/CENELEC standards), as  well as the extent to which data and processes that are used for  sustainability reporting purposes have been verified by an external  assurance provider and found to conform to the  corresponding ISO/IEC or CEN/CENELEC standard.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement BP-2 – Disclosures in relation to specific circumstances,,AR 2.
ESRS 2 - 2.Governanc,2.Governance,paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement BP-2 – Disclosures in relation to specific circumstances,,2.Governance
"ESRS 2(5.)()(-Disclosure Requirement GOV-1 – The role of the administrative, management and supervisory bodies)","Disclosure Requirement GOV-1 – The role of the administrative, management and supervisory bodies",pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 3,"In describing the role and responsibilities of the administrative, management and supervisory bodies with regard to sustainability matters , the undertaking may specify: (a) the  aspects of sustainability over which oversight is exercised with regard  to the environmental, social and governance matters the undertaking may  be facing, including: i. any assessment of and changes to sustainability-related aspects of the undertaking’s strategy and business model ; ii. the identification and assessment of material risks, opportunities and impacts ; iii. related policies and targets , action plans and dedicated resources; and iv. sustainability reporting; (b) the form such oversight takes for each of the above aspects: i.e., information, consultation or decision-making; and (c) the way  such oversight is organised and formalised, i.e., processes by which the  administrative, management and supervisory bodies engage with these  aspects of sustainability.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement GOV-1 – The role of the administrative, management and supervisory bodies",,AR 3.
ESRS 2 - AR 4,"In describing the undertaking’s organisation of governance regarding sustainability matters , a description of complex governance structure may be complemented by their presentation in the form of a diagram.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement GOV-1 – The role of the administrative, management and supervisory bodies",,AR 4.
ESRS 2 - AR 5,"The description of the level of expertise or access to expertise of the administrative, management and supervisory bodies may be substantiated by  illustrating the composition of the bodies, including members on whom  these bodies rely for expertise to oversee sustainability matters , and how they leverage that  expertise as a body. In the description, the undertaking shall consider  how the expertise and skills are relevant to the undertaking’s material impacts, risks and opportunities and whether the bodies and/or its members have access to other sources of expertise, such as specific experts and training and other educational initiatives to update and develop sustainability-related expertise within these bodies.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement GOV-1 – The role of the administrative, management and supervisory bodies",,AR 5.
"ESRS 2(5.)()(-Disclosure Requirement 
GOV-2 – Information provided to and sustainability matters addressed by 
the undertaking’s administrative, management and supervisory bodies)","Disclosure Requirement 
GOV-2 – Information provided to and sustainability matters addressed by 
the undertaking’s administrative, management and supervisory bodies",pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 6,"Depending on the undertaking’s structure, the administrative, management and supervisory bodies may focus on overarching targets , while management focuses on  the more detailed targets. In this case, the undertaking may disclose  how the governance bodies ensure that an appropriate mechanism for  performance monitoring is in place.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement 
GOV-2 – Information provided to and sustainability matters addressed by 
the undertaking’s administrative, management and supervisory bodies",,AR 6.
ESRS 2(5.)()(-Disclosure Requirement GOV-3 – Integration of sustainability-related performance in incentive schemes),Disclosure Requirement GOV-3 – Integration of sustainability-related performance in incentive schemes,pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 7,"For listed undertakings, this  Disclosure Requirement should be consistent with the remuneration report  prescribed in articles 9a and 9b of Directive 2007/36/EC on  the exercise of certain rights of shareholders in listed companies.  Subject to the provisions of ESRS 1, paragraphs 119, 120 and 122, a  listed undertaking may make a reference to its remuneration report.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement GOV-3 – Integration of sustainability-related performance in incentive schemes,,AR 7.
ESRS 2(5.)()(-Disclosure Requirement GOV-4 – Statement on due diligence),Disclosure Requirement GOV-4 – Statement on due diligence,pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 8,"The mapping required by paragraph 30  may be presented in the form of a table, cross-referencing the core  elements of due diligence, for impacts on people and the environment, to  the relevant disclosures in the undertaking’s sustainability statement , as set out below.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement GOV-4 – Statement on due diligence,,AR 8.
ESRS 2 - AR 9,"The undertaking may include  additional columns to the table below to clearly identify those  disclosures that relate to impacts on people and/or the environment  given that, in some cases, more than one disclosure may provide  information about the same due diligence step.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement GOV-4 – Statement on due diligence,,AR 9.
ESRS 2 - AR 10,"The main references in the  international instruments of the UN Guiding Principles on Business and  Human Rights and the OECD Guidelines for Multinational Enterprises to  the core elements of the due diligence process are listed in ESRS 1  chapter 4. CORE ELEMENTS OF DUE DILIGENCE PARAGRAPHS IN THE SUSTAINABILITY STATEMENT a) Embedding due diligence in governance, strategy and business model b) Engaging with affected stakeholders in all key steps of the due diligence c) Identifying and assessing adverse impacts d) Taking actions to address those adverse impacts e) Tracking the effectiveness of these efforts and communicating",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement GOV-4 – Statement on due diligence,,AR 10.
ESRS 2(5.)()(-Disclosure Requirement GOV-5 – Risk management and internal controls over sustainability reporting),Disclosure Requirement GOV-5 – Risk management and internal controls over sustainability reporting,pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 11,"This Disclosure Requirement focuses  solely on the internal control processes over the sustainability  reporting process. The undertaking may consider risks such as the  completeness and integrity of the data, the accuracy of estimation  results, the availability of upstream and/or downstream value chain data, and the timing of the availability of the information.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement GOV-5 – Risk management and internal controls over sustainability reporting,,AR 11.
ESRS 2 - 3.Strateg,3.Strategy,paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement GOV-5 – Risk management and internal controls over sustainability reporting,,3.Strategy
"ESRS 2(5.)()(-Disclosure Requirement SBM–1 Strategy, business model and value chain)","Disclosure Requirement SBM–1 Strategy, business model and value chain",pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 12,"To provide the information on  sectors required by paragraph 40, the undertaking shall map its  significant activities in accordance with ESRS sectors. If a code for a  sub-sector does not exist, the caption “others” shall be used.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement SBM–1 Strategy, business model and value chain",,AR 12.
ESRS 2 - AR 13,"For the purposes of the disclosures  required in paragraph 40, a group of products and/or services  offered, a group of markets and/or customer groups served, or an  ESRS sector, is significant for the undertaking if it meets one or both  of the following criteria: (a) it accounts for more than 10 per cent of the undertaking’s revenue; (b) it is connected with material actual impacts or material potential negative impacts of the undertaking.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement SBM–1 Strategy, business model and value chain",,AR 13.
ESRS 2 - AR 14,"In preparing disclosures relating to its business model and value chain , the undertaking shall consider: (a) its key activities, resources, distribution channels and customer segments; (b) its key business relationships and their key characteristics, including relationships with customers and suppliers ; (c) the cost  structure and revenue of its business segments, in line with IFRS 8  disclosure requirements in the financial statement, where applicable; (d) the potential impacts, risks and opportunities in its significant sector(s) and their possible relationship to its own business model or value chain.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement SBM–1 Strategy, business model and value chain",,AR 14.
ESRS 2 - AR 15,"Contextual information may be  particularly relevant for users of the undertaking’s sustainability  statement, to understand to what extent the disclosures include  upstream and/or downstream value chain information. The description of  the main features of the upstream and/or downstream value chain  and where applicable the identification of key value chains should  support an understanding of how the undertaking applies the requirements  of ESRS 1 chapter 5 and the materiality assessment performed by the  undertaking in line with ESRS 1 chapter 3. The description may provide a  high-level overview of the key features of upstream and/or  downstream value chain entities indicating their relative contribution  to the undertaking’s performance and position and explaining how they  contribute to the value creation of the undertaking.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement SBM–1 Strategy, business model and value chain",,AR 15.
ESRS 2(5.)()(-Disclosure Requirement SBM-2 – Interests and views of stakeholders),Disclosure Requirement SBM-2 – Interests and views of stakeholders,pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 16,"The views and interests of stakeholders that are expressed as part of  the undertaking’s engagement with stakeholders through its due diligence  process may be relevant to one or more aspects of its strategy or  business model. As such, they may affect the undertaking’s decisions  regarding the future direction of the strategy or business model.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement SBM-2 – Interests and views of stakeholders,,AR 16.
"ESRS 2(5.)()(-Disclosure Requirement SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model)","Disclosure Requirement SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model",pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 17,"When describing where in its upstream and/or downstream value chain material impacts, risks and opportunities are concentrated, the  undertaking shall consider: geographical areas, facilities or types of  assets, inputs, outputs and distribution channels.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model",,AR 17.
ESRS 2 - AR 18,"This disclosure may be expressed in terms of a single impact , risk or opportunity or by aggregating groups of  material impacts, risks and opportunities, when this provides more  relevant information and does not obscure material information.",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model",,AR 18.
"ESRS 2 - 4.Impact, risk and opportunity managemen","4.Impact, risk and opportunity management",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,"Disclosure Requirement SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model",,"4.Impact, risk and opportunity management"
ESRS 2(5.)()(-Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement),Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
ESRS 2 - AR 19,"Notwithstanding the basis for the presentation of the information about sustainability matters included in ESRS 1 chapter 8 Structure of sustainability statement , the undertaking may disclose the list of the Disclosure Requirements complied with in preparing the sustainability statement (see paragraph 54) in the  general information part or in other parts of the sustainability  statement as it deems appropriate. The undertaking may use a content  index, i.e., a tabular list of the Disclosure Requirements included in  the sustainability statement, with the indication of where they are  located (page/paragraphs).",paragraph,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,Disclosure Requirement IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,AR 19.
ESRS 2(5.)()(-Minimum Disclosure Requirement – Policies MDR-P – Policies adopted to manage material sustainability matters),Minimum Disclosure Requirement – Policies MDR-P – Policies adopted to manage material sustainability matters,pre_para_note,ESRS 2,5.,,Minimum Disclosure Requirement – Targets MDR-T – Tracking effectiveness of policies and actions through targets,,,
